Navn;Stasjon;Tid(norsk normaltid);Nedbør (1 t);Maksimumstemperatur (1 t);Minimumstemperatur (1 t);Høyeste middelvind (1 t)
Stavanger - Våland;SN44640;22.03.2021 10:00;0;6,6;5,8;-
Stavanger - Våland;SN44640;22.03.2021 11:00;0;6,5;6,2;-
Stavanger - Våland;SN44640;22.03.2021 12:00;0,2;7,1;6,3;-
Stavanger - Våland;SN44640;22.03.2021 13:00;0;7,4;6,6;-
Stavanger - Våland;SN44640;22.03.2021 14:00;0;7,7;6,9;-
Stavanger - Våland;SN44640;22.03.2021 15:00;0;7,6;6,9;-
Stavanger - Våland;SN44640;22.03.2021 16:00;0;7,1;6,6;-
Stavanger - Våland;SN44640;22.03.2021 17:00;0;6,7;6,4;-
Stavanger - Våland;SN44640;22.03.2021 18:00;0;6,6;6,2;-
Stavanger - Våland;SN44640;22.03.2021 19:00;0;6,2;5,9;-
Stavanger - Våland;SN44640;22.03.2021 20:00;0;6;5,9;-
Stavanger - Våland;SN44640;22.03.2021 21:00;0;6;5,6;-
Stavanger - Våland;SN44640;22.03.2021 22:00;0;5,7;5,2;-
Stavanger - Våland;SN44640;22.03.2021 23:00;0;5,7;5,6;-
Stavanger - Våland;SN44640;23.03.2021 00:00;0;5,7;5,2;-
Stavanger - Våland;SN44640;23.03.2021 01:00;0;5,5;4,9;-
Stavanger - Våland;SN44640;23.03.2021 02:00;0;5,4;5,2;-
Stavanger - Våland;SN44640;23.03.2021 03:00;0,1;5,5;5,4;-
Stavanger - Våland;SN44640;23.03.2021 04:00;0,5;5,5;5,5;-
Stavanger - Våland;SN44640;23.03.2021 05:00;0,3;5,5;5,4;-
Stavanger - Våland;SN44640;23.03.2021 06:00;0,3;5,4;5,3;-
Stavanger - Våland;SN44640;23.03.2021 07:00;0,1;5,4;5,3;-
Stavanger - Våland;SN44640;23.03.2021 08:00;0,4;5,7;5,4;-
Stavanger - Våland;SN44640;23.03.2021 09:00;0,5;6,3;5,8;-
Stavanger - Våland;SN44640;23.03.2021 10:00;0;7,8;6,2;-
